Gene	M_19W_embryo1_26_sc1	M_19W_embryo1_26_sc2	M_19W_embryo1_26_sc3	M_19W_embryo1_26_sc4	M_19W_embryo1_26_sc5	M_19W_embryo1_26_sc6	M_19W_embryo1_26_sc7	M_19W_embryo1_26_sc8	M_19W_embryo1_26_sc9	M_19W_embryo1_26_sc10	M_19W_embryo1_26_sc11	M_19W_embryo1_26_sc12	M_19W_embryo1_26_sc13	M_19W_embryo1_26_sc14	M_19W_embryo1_26_sc15	M_19W_embryo1_26_sc16	M_19W_embryo1_26_sc17	M_19W_embryo1_26_sc18	M_19W_embryo1_26_sc19	M_19W_embryo1_26_sc20	M_19W_embryo1_26_sc21	M_19W_embryo1_26_sc22	M_19W_embryo1_26_sc24	M_19W_embryo1_26_sc25	M_19W_embryo1_26_sc26	M_19W_embryo1_26_sc27	M_19W_embryo1_26_sc28	M_19W_embryo1_26_sc29	M_19W_embryo1_26_sc30	M_19W_embryo1_26_sc31	M_19W_embryo1_26_sc32	M_19W_embryo1_26_sc33	M_19W_embryo1_26_sc35	M_19W_embryo1_26_sc36	M_19W_embryo1_26_sc37	M_19W_embryo1_26_sc38	M_19W_embryo1_26_sc39	M_19W_embryo1_26_sc40	M_19W_embryo1_26_sc41	M_19W_embryo1_26_sc42	M_19W_embryo1_26_sc43	M_19W_embryo1_26_sc44	M_19W_embryo1_26_sc45	M_19W_embryo1_26_sc46	M_19W_embryo1_26_sc47	M_19W_embryo1_26_sc48	M_19W_embryo1_26_sc49	M_19W_embryo1_26_sc50
KIAA0368	38.96	25.05	63.16	206.89	23.44	0	9	65.38	27.38	22.13	54.38	53.86	115.24	119.12	55.01	46.62	6.18	0	4.57	131.12	6.74	49.09	37.67	84.86	0	92.37	113.45	52.46	2.34	63.51	50.08	284.6	142.3	43.63	29.9	38.88	9.42	11.24	22.5	46.74	98.77	0	34.73	95.62	61.82	59.25	119.83	273.3
KIAA0391	94.96	120.68	0	33.47	0	0	71.98	65.38	0	25.29	0	109.51	65.85	60.23	66.47	3.59	0	93.01	82.25	0	0	72.34	47.09	16.97	17.92	0	25.21	0	26.91	22.23	25.04	0	0	0	31.2	12.96	18.85	38.53	98.67	0	71.83	0	18.6	45.73	41.22	9.29	56.59	1.92
KIAA0408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0430	43.83	95.63	32.39	45.64	73.68	177.34	69.41	0	23.06	6.32	181.26	82.58	56.99	104.4	4.58	139.87	3.09	2.58	0	35.95	47.18	49.09	9.42	0	69.88	62.81	10.81	148.64	31.59	9.53	107.86	55.73	116.43	5.45	16.9	63.18	0	4.82	107.33	48.3	0	19.13	31.01	47.81	97.89	46.47	0	7.7
KIAA0513	0	4.55	58.3	21.3	0	26.87	0	0	54.76	41.1	0	17.95	0	0	0	0	0	2.58	100.53	0	2.25	1.29	0	0	0	0	0	2.91	42.13	19.05	36.59	0	0	38.18	0	0	0	0	58.86	63.88	0	0	28.53	0	0	36.02	0	0
KIAA0556	0	22.77	21.05	27.38	0	220.34	29.56	0	0	0	0	0	0	0	55.01	75.32	0	0	0	0	0	24.54	0	0	0	92.37	0	2.91	0	0	32.74	0	0	0	19.5	16.2	25.13	0	1.73	0	0	0	19.84	31.18	0	0	31.62	0
KIAA0586	68.17	0	106.88	85.19	0	0	33.42	86.19	0	35.83	0	64.63	0	24.09	91.68	0	108.18	2.58	0	8.46	0	68.46	139.37	0	100.34	116.39	25.21	58.29	3.51	139.72	53.93	62.85	80.85	106.35	39	53.46	160.2	0	178.3	0	92.04	105.19	57.05	8.31	5.15	33.69	0	19.25
KIAA0753	0	20.49	69.63	0	0	0	39.85	65.38	103.76	4.22	0	55.65	0	0	48.13	77.11	0	5.17	25.13	4.23	0	86.55	16.95	2.83	57.33	0	10.81	0	0	0	0	16.6	0	0	13	56.7	0	3.21	53.66	17.14	8.98	0	19.84	43.65	0	90.62	0	46.19
KIAA0754	0	0	0	0	0	0	0	11.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.65	0	0	0	0	0	0	0	1.56	0	0	0	0	0	0	0	0
KIAA0825	2.43	2.28	3.24	6.08	3.35	5.37	33.42	0	4.32	7.38	13.18	3.59	100.05	37.48	0	10.76	9.27	5.17	27.42	6.34	65.15	40.04	1.88	5.66	0	0	7.2	26.23	0	63.51	11.56	0	25.87	0	3.9	9.72	0	43.34	3.46	1.56	0	0	1.24	8.31	39.5	11.62	1.66	0
KIAA0895	2.43	0	8.1	0	0	0	70.7	53.5	103.76	1.05	36.25	0	0	0	0	3.59	64.91	0	0	0	58.41	0	41.44	0	0	11.08	0	0	16.38	3.18	50.08	3.56	1.62	98.17	6.5	38.88	0	9.63	0	34.28	0	0	1.24	0	6.87	32.53	0	0
KIAA0895L	0	6.83	0	31.95	0	0	6.43	5.94	0	0	9.89	0	0	14.72	25.21	0	0	0	34.27	0	0	11.63	26.37	0	1.79	0	3.6	69.95	0	38.11	23.11	3.56	0	0	9.1	0	9.42	49.77	27.7	12.46	0	6.38	50.85	0	0	11.62	44.94	1.92
KIAA0907	0	0	74.49	0	0	32.24	11.57	4.46	2.88	17.91	6.59	37.7	7.6	21.42	0	53.8	0	0	13.71	0	6.74	0	5.65	0	0	0	30.61	0	51.49	0	11.56	0	8.09	27.27	5.2	1.62	12.57	1.61	22.5	0	65.1	0	1.24	27.02	5.15	46.47	0	0
KIAA0922	53.56	0	0	31.95	0	155.85	6.43	0	18.73	12.65	11.53	34.11	20.26	2.68	20.63	8.97	6.18	7.75	0	2.11	56.16	1.29	0	2.83	60.92	3.69	30.61	0	0	0	0	65.22	24.26	0	5.2	9.72	0	6.42	67.51	1.56	125.71	0	0	97.7	56.67	0	26.63	5.77
KIAA0930	0	0	14.57	7.61	3.35	96.73	0	0	0	0	174.67	0	2.53	0	0	5.38	49.46	31	0	0	0	0	0	79.21	0	0	0	0	0	0	42.37	26.09	4.85	0	0	0	50.26	0	27.7	0	0	165.75	0	0	15.46	0	1.66	0
KIAA1024	0	0	0	0	0	0	26.99	0	0	0	13.18	12.57	0	0	0	0	0	2.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1024L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1033	0	116.12	42.1	124.74	174.14	32.24	19.28	14.86	100.88	32.67	18.13	50.27	30.39	18.74	9.17	12.55	3.09	31	180.5	38.07	316.75	33.58	47.09	220.64	0	0	32.42	0	7.02	34.93	23.11	17.79	1.62	119.98	65.01	108.54	0	35.32	115.98	1.56	170.6	66.94	26.04	43.65	60.11	9.29	0	46.19
KIAA1107	204.52	4.55	46.96	27.38	120.56	42.99	6.43	65.38	33.15	69.55	29.66	1.8	40.52	16.06	9.17	139.87	3.09	10.33	0	0	146.02	107.21	67.8	0	1.79	0	61.23	0	0	107.96	40.45	43.88	97.03	163.61	16.9	9.72	3.14	1.61	50.2	133.99	80.81	172.13	12.4	120.56	39.5	27.88	76.56	21.17
KIAA1109	131.48	22.77	59.92	15.21	127.26	118.23	5.14	374.47	2.88	12.65	70.86	0	43.06	104.4	13.75	181.12	18.55	126.6	0	74.02	56.16	82.67	11.3	65.06	57.33	53.58	3.6	14.57	29.25	260.39	11.56	68.78	21.02	57.26	0	1.62	65.97	120.4	64.05	0	150.4	3.19	34.73	189.16	12.02	118.5	198.05	59.66
KIAA1143	170.43	111.57	140.89	114.09	33.49	204.22	253.23	2.97	49	84.3	52.73	136.44	154.5	88.34	123.77	243.88	12.36	25.84	249.04	112.08	33.7	117.55	52.74	118.81	1.79	109	39.62	209.84	100.63	34.93	13.48	42.69	79.24	0	75.41	220.31	18.85	77.06	126.37	138.66	0	235.88	78.13	68.6	3.43	10.46	103.19	65.44
KIAA1147	26.78	0	66.4	0	0	0	0	0	0	0	0	0	0	22.75	0	0	34	0	0	0	0	0	0	0	28.67	0	0	0	0	3.18	0	1.19	0	0	0	0	65.97	0	0	0	0	0	0	0	22.32	1.16	0	0
KIAA1161	0	0	30.77	13.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29	0	0	0	0	0	0	0	79.39	0	0	0	0	0	0	0	0	0	0	0	44.63	0	0	0	83.65	0	0
KIAA1191	0	0	0	0	0	0	0	0	0	10.54	0	37.7	0	24.09	0	1.79	0	0	2.28	25.38	0	24.54	77.22	0	0	0	0	37.89	14.04	0	0	0	0	0	0	17.82	0	0	0	0	0	0	0	0	0	0	4.99	0
KIAA1210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.21	0	0	0	0	0	0	0	0	0	0	0	3.14	0	0	0	0	0	0	0	0	0	0	1.92
KIAA1211	2.43	95.63	19.43	0	53.58	53.74	44.99	8.92	10.09	0	0	39.5	21.53	1.34	64.17	23.31	170	62.01	148.51	183.98	13.48	171.8	113	16.97	41.21	3.69	117.06	93.26	0	44.46	61.63	0	27.49	0	32.5	4.86	47.12	0	57.13	90.37	2.24	0	0	22.87	0	45.31	0	1.92
KIAA1211L	12.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.47	0	0	0	0	0	0	0	0	0	1.24	64.44	0	0	0	0
KIAA1217	0	0	21.05	0	0	0	0	0	0	0	37.9	0	0	0	0	43.04	0	28.42	0	0	38.19	0	0	0	10.75	0	39.62	0	0	0	23.11	0	30.72	0	0	0	0	0	1.73	24.93	0	0	0	2.08	0	0	0	0
KIAA1257	0	0	137.65	45.64	23.44	0	1.29	0	155.64	0	34.6	57.45	79.78	127.15	0	335.34	34	0	0	57.1	0	54.25	79.1	0	59.13	0	70.23	81.6	0	60.33	0	45.06	87.32	2.73	0	66.42	21.99	20.87	109.06	54.53	2.24	0	44.65	49.89	0	47.63	0	38.49
KIAA1279	0	2.28	1.62	95.84	113.86	5.37	3.86	151.57	92.23	177.04	0	0	181.1	1.34	2.29	71.73	0	0	0	0	0	28.42	1.88	0	0	0	100.85	157.38	131.06	53.98	0	21.35	14.55	163.61	2.6	119.88	56.54	35.32	0	40.51	6.73	204	26.04	41.57	0	23.24	0	46.19
KIAA1324	0	0	0	0	0	0	0	23.78	0	0	0	0	0	0	0	0	3.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6	9.72	0	0	34.62	26.49	31.43	0	0	0	0	1.16	3.33	0
KIAA1324L	0	0	0	19.78	0	182.72	7.71	16.35	20.18	0	0	14.36	67.12	0	16.04	0	30.91	5.17	20.56	0	6.74	0	11.3	0	17.92	1.85	25.21	43.72	0	0	25.04	115.03	4.85	0	2.6	0	0	0	0	10.91	56.12	0	2.48	18.71	58.39	1.16	0	1.92
KIAA1328	0	0	0	1.52	70.33	0	44.99	46.07	0	0	8.24	0	29.13	46.85	93.97	1.79	18.55	25.84	82.25	0	0	20.67	1.88	0	0	0	0	29.14	1.17	0	0	30.83	132.6	24.54	32.5	43.74	69.11	8.03	8.66	46.74	0	0	32.25	33.26	17.17	1.16	0	30.79
KIAA1407	0	2.28	72.87	0	0	0	29.56	1.49	0	23.18	52.73	55.65	0	61.57	32.09	28.69	0	0	4.57	0	76.38	0	1.88	0	1.79	121.93	50.42	0	24.57	0	23.11	24.9	17.79	0	50.7	19.44	0	77.06	17.31	15.58	0	28.69	35.97	27.02	29.19	84.81	21.64	28.87
KIAA1429	17.04	207.2	22.67	203.85	0	139.73	115.69	173.86	309.84	45.31	87.34	229.79	210.22	1.34	11.46	30.49	160.73	108.51	381.55	52.87	125.8	176.97	150.67	288.53	0	35.1	183.69	107.83	60.85	15.88	152.16	149.42	16.17	163.61	31.2	1.62	37.7	194.25	19.04	35.83	118.97	108.38	43.41	95.62	187.19	27.88	154.78	23.1
KIAA1456	0	0	0	0	0	0	41.13	0	0	0	0	0	0	12.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24	0	1.24	0	0	0	0	0
KIAA1462	168	4.55	0	0	53.58	188.09	0	0	8.65	1.05	0	28.72	0	0	11.46	12.55	3.09	5.17	0	0	0	3.88	54.62	0	7.17	72.05	12.61	0	9.36	0	7.7	0	0	35.45	0	0	3.14	57.79	0	42.07	0	0	0	2.08	0	1.16	6.66	0
KIAA1467	7.3	2.28	30.77	30.42	10.05	53.74	83.55	60.93	57.64	14.75	3.3	34.11	67.12	12.05	18.34	39.45	95.82	49.09	0	84.59	40.44	5.17	13.18	70.72	10.75	18.47	54.03	52.46	9.36	206.4	7.7	14.23	19.41	100.9	42.9	11.34	34.55	9.63	13.85	10.91	17.96	6.38	55.81	47.81	20.61	17.43	0	9.62
KIAA1468	0	13.66	12.96	0	0	5.37	18	22.29	4.32	12.65	4.94	37.7	0	1.34	0	34.07	9.27	0	0	16.92	2.25	0	13.18	0	8.96	31.41	23.41	0	0	0	1.93	0	4.85	0	83.21	48.6	6.28	0	0	0	8.98	0	4.96	22.87	0	22.07	13.31	0
KIAA1522	0	0	77.73	0	0	118.23	0	0	0	0	34.6	0	0	0	2.29	0	0	0	0	0	0	0	0	0	1.79	0	1.8	0	0	0	0	27.27	0	0	0	16.2	0	1.61	0	0	0	0	0	10.39	0	0	0	88.53
KIAA1524	0	34.15	0	18.25	77.02	118.23	24.42	8.92	0	66.39	0	32.31	31.66	156.6	0	12.55	0	0	54.83	10.57	56.16	32.29	67.8	2.83	78.83	35.1	1.8	0	148.61	127.02	119.41	24.9	0	0	1.3	0	9.42	32.11	36.35	71.67	29.18	3.19	28.53	68.6	106.47	23.24	1.66	0
KIAA1549	0	18.22	0	1.52	3.35	123.6	0	101.05	38.91	2.11	14.83	175.93	82.32	0	29.8	0	46.36	87.84	0	80.36	20.22	65.88	54.62	16.97	0	68.36	1.8	96.18	19.89	0	11.56	3.56	6.47	0	0	12.96	3.14	3.21	1.73	0	109.99	0	34.73	37.42	0	1.16	1.66	0
KIAA1549L	0	0	0	0	16.74	118.23	43.7	0	0	0	0	0	0	0	0	0	0	0	0	12.69	0	0	1.88	39.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.6	0	54.19	0	10.39	0	19.75	0	0
KIAA1551	150.96	127.51	246.15	4.56	274.61	188.09	262.23	233.3	14.41	347.75	270.25	152.6	103.85	140.54	123.77	104.01	259.64	98.18	132.52	88.82	307.76	108.5	116.77	5.66	114.67	123.78	129.66	134.06	187.22	53.98	32.74	17.79	431.76	117.26	50.7	132.84	141.36	85.08	79.63	42.07	20.2	3.19	318.74	309.72	285.07	202.15	191.39	96.23
KIAA1586	0	9.11	80.97	0	36.84	91.36	102.83	0	0	12.65	57.67	0	81.05	76.29	61.88	0	18.55	0	20.56	2.11	0	0	1.88	0	26.88	0	0	2.91	47.98	0	1.93	0	17.79	27.27	61.1	92.34	0	40.13	0	1.56	0	6.38	130.22	20.79	0	36.02	1.66	0
KIAA1614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1644	24.35	0	0	0	0	16.12	30.85	0	0	0	0	0	0	1.34	0	0	151.46	0	0	0	0	0	0	67.89	0	0	0	0	0	0	0	1.19	0	0	0	0	0	1.61	8.66	0	0	0	9.92	0	0	0	0	0
KIAA1656	0	0	0	0	6.7	0	0	0	1.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62	0	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1671	0	11.38	1.62	0	63.63	177.34	48.85	38.64	8.65	0	0	0	55.72	6.69	38.96	0	0	0	0	0	22.46	1.29	0	0	10.75	16.63	0	0	0	3.18	61.63	21.35	1.62	0	1.3	1.62	75.39	57.79	60.59	0	65.1	3.19	49.61	0	53.24	121.99	0	0
KIAA1683	0	0	0	12.17	0	53.74	0	0	0	0	0	0	30.39	30.78	2.29	0	0	0	0	0	0	0	0	0	73.46	0	59.43	2.91	1.17	0	0	100.8	0	0	0	0	0	0	15.58	1.56	0	0	29.77	2.08	34.35	8.13	49.93	0
KIAA1715	80.35	61.48	34.01	0	0	59.11	14.14	0	1.44	51.64	41.2	35.91	35.46	58.89	0	25.11	0	95.59	0	27.49	0	65.88	5.65	25.46	0	3.69	12.61	2.91	71.38	57.16	80.89	0	37.19	0	0	64.8	28.27	25.69	12.12	81.02	4.49	12.75	14.88	0	0	0	1.66	75.06
KIAA1755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.66	0	0	0	0	0	0	46.47	16.64	0
KIAA1804	0	0	0	0	0	0	0	8.92	0	0	0	0	0	0	0	0	0	2.58	0	0	13.48	0	0	0	0	0	0	0	0	0	0	0	43.66	0	0	0	0	0	1.73	0	0	0	0	0	1.72	0	0	0
KIAA1841	0	0	74.49	73.02	40.19	429.93	62.99	8.92	102.32	0	23.07	84.38	53.19	73.62	162.73	0	6.18	0	162.22	0	2.25	73.63	0	121.64	0	0	73.84	0	26.91	69.86	75.12	9.49	16.17	332.68	81.91	17.82	0	75.45	15.58	26.49	31.43	0	53.33	37.42	27.48	44.15	69.9	34.64
KIAA1875	0	0	0	0	0	0	0	0	0	0	11.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24	0	0	0	0	0	0	0	0	0	0	1.66	1.92
KIAA1919	0	0	0	0	0	0	0	0	0	0	4.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7	0	0	0	0	0	10.4	0	56.54	0	1.73	0	0	0	0	0	0	0	31.62	0
KIAA1958	43.83	43.26	45.34	62.37	73.68	26.87	1.29	38.64	136.9	45.31	0	0	50.66	50.86	45.84	23.31	0	0	0	243.2	33.7	0	45.2	147.1	0	16.63	39.62	0	46.81	92.09	0	122.14	0	0	0	24.3	65.97	0	39.81	38.95	69.59	22.31	71.93	64.44	99.6	0	79.89	0
KIAA2012	0	0	0	0	0	0	46.28	1.49	0	0	0	48.47	19	164.63	57.3	60.97	0	62.01	0	0	71.89	0	0	0	7.17	0	1.8	0	0	50.81	55.86	46.25	0	0	0	40.5	0	0	65.78	141.78	0	0	0	18.71	3.43	37.18	0	0
KIAA2013	2.43	45.54	3.24	1.52	0	0	7.71	2.97	67.73	64.28	0	0	0	0	0	1.79	98.91	0	0	25.38	0	1.29	28.25	0	0	0	46.82	26.23	52.66	6.35	19.26	20.16	63.07	62.72	0	1.62	6.28	8.03	0	29.6	0	0	26.04	0	0	1.16	1.66	34.64
KIAA2018	0	31.88	0	21.3	56.93	0	2.57	87.67	0	0	31.31	34.11	0	0	0	17.93	0	33.59	0	0	60.65	0	0	0	0	0	0	20.4	1.17	0	80.89	0	19.41	89.99	49.4	0	0	0	0	14.02	0	57.38	0	0	20.61	1.16	18.31	0
KIAA2022	0	0	93.92	0	0	0	6.43	0	0	0	0	0	0	0	0	0	0	0	0	80.36	0	0	48.97	0	0	0	39.62	64.12	0	0	0	0	48.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA2026	175.3	47.82	129.55	0	90.42	0	42.42	50.52	154.2	11.59	98.87	19.75	0	112.43	0	73.52	92.73	157.6	137.09	131.12	92.1	68.46	133.72	226.3	59.13	51.73	14.41	75.78	69.04	73.04	55.86	99.61	195.67	365.4	42.9	43.74	25.13	1.61	50.2	119.97	152.65	379.32	27.28	95.62	85.86	140.58	69.9	102.01
KIDINS220	0	25.05	6.48	10.65	16.74	123.6	1.29	10.4	61.97	1.05	3.3	41.29	29.13	81.65	0	5.38	0	23.25	84.54	63.44	0	24.54	28.25	5.66	16.13	5.54	0	29.14	66.7	41.28	67.41	0	37.19	62.72	114.41	4.86	0	14.45	79.63	85.69	4.49	35.06	13.64	18.71	17.17	36.02	14.98	0
KIF11	141.22	59.2	72.87	98.88	3.35	16.12	140.11	23.78	11.53	168.61	52.73	184.91	44.32	108.41	6.88	28.69	0	25.84	82.25	90.93	15.73	72.34	35.78	96.18	0	36.95	50.42	8.74	161.48	0	32.74	39.13	8.09	100.9	131.31	173.34	84.81	8.03	8.66	90.37	40.41	47.81	85.58	153.82	13.74	54.6	41.61	90.46
KIF12	0	0	0	16.73	10.05	0	1.29	0	0	1.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61	0	3.12	38.16	0	0	0	0	0	0	34.64
KIF13A	21.91	0	3.24	0	0	0	0	35.66	0	1.05	0	0	0	112.43	0	0	0	87.84	0	78.25	103.34	47.79	3.77	2.83	0	0	0	64.12	1.17	25.4	52	39.13	9.7	0	23.4	74.52	0	0	0	24.93	78.57	114.75	23.56	45.73	70.41	0	0	0
KIF13B	0	0	24.29	0	0	37.62	7.71	0	40.35	0	0	1.8	0	0	0	0	80.37	74.93	0	61.33	51.67	65.88	18.83	0	0	0	30.61	0	1.17	44.46	0	0	38.81	0	20.8	50.22	94.24	3.21	0	28.04	56.12	38.25	13.64	0	0	31.37	0	0
KIF14	0	0	30.77	63.89	3.35	5.37	2.57	11.89	0	0	69.21	41.29	63.32	45.51	22.92	71.73	3.09	0	84.54	42.3	51.67	24.54	20.72	0	37.63	0	82.84	75.78	11.7	0	0	110.28	0	95.44	2.6	12.96	0	22.47	0	52.97	17.96	0	88.06	70.68	48.08	0	24.96	30.79
KIF15	153.39	0	8.1	0	210.98	0	141.4	53.5	38.91	43.21	46.14	21.54	31.66	12.05	0	46.62	68	72.34	6.85	80.36	53.91	32.29	20.72	0	8.96	1.85	55.83	110.75	49.15	57.16	17.33	58.11	51.75	103.62	0	0	0	56.19	19.04	15.58	40.41	95.63	21.08	0	18.89	60.41	1.66	32.72
KIF16B	301.91	132.06	11.34	68.46	63.63	26.87	35.99	34.18	40.35	8.43	0	102.33	0	111.09	2.29	25.11	18.55	0	68.54	59.21	44.93	105.92	52.74	0	44.79	0	115.26	0	0	0	21.19	21.35	33.96	95.44	27.3	63.18	0	0	0	32.72	17.96	0	1.24	37.42	1.72	139.41	28.29	109.7
KIF17	0	0	38.87	1.52	70.33	0	28.28	0	0	0	42.84	0	1.27	65.58	0	0	58.73	90.43	0	0	0	18.08	0	0	51.96	0	0	0	0	0	0	0	0	0	0	29.16	0	0	5.19	15.58	31.43	0	7.44	66.52	0	20.91	0	0
KIF18A	38.96	31.88	19.43	86.71	6.7	128.98	2.57	16.35	23.06	16.86	13.18	0	35.46	26.77	0	8.97	0	23.25	34.27	27.49	31.45	14.21	0	79.21	96.75	31.41	81.04	0	28.08	0	38.52	14.23	4.85	0	0	38.88	69.11	19.26	34.62	42.07	31.43	0	0	20.79	0	53.44	1.66	26.94
KIF18B	0	0	0	0	0	0	1.29	0	21.62	0	0	0	0	26.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	9.72	0	0	0	17.14	31.43	0	0	0	0	0	0	0
KIF19	0	0	0	0	0	0	0	0	0	0	0	0	1.27	42.83	0	0	0	0	0	0	0	0	22.6	0	0	0	0	0	1.17	0	0	0	0	0	0	0	0	43.34	0	0	0	0	0	12.47	25.76	0	0	11.55
KIF1A	4.87	0	14.57	0	0	0	0	0	67.73	0	0	0	0	0	0	37.66	0	0	0	0	62.9	0	9.42	0	0	0	70.23	0	0	0	0	1.19	0	10.91	0	0	0	0	0	68.55	0	0	1.24	0	0	0	0	0
KIF1B	68.17	132.06	127.93	98.88	80.37	102.11	3.86	11.89	4.32	72.71	49.44	64.63	70.92	20.08	84.8	3.59	77.27	0	73.11	325.67	0	2.58	0	8.49	383.42	25.86	226.91	8.74	28.08	136.54	23.11	11.86	139.07	141.8	92.31	25.92	21.99	61	81.36	28.04	132.44	98.81	85.58	62.36	36.06	155.68	186.4	69.29
KIF1C	0	6.83	0	7.61	0	16.12	1.29	136.71	50.44	34.78	54.38	0	120.31	24.09	22.92	46.62	6.18	0	29.7	46.52	4.49	29.71	37.67	0	68.08	24.02	12.61	2.91	0	3.18	36.59	30.83	50.13	0	10.4	11.34	43.98	41.74	6.92	59.2	11.22	25.5	29.77	22.87	1.72	29.04	3.33	67.36
KIF20A	0	0	0	15.21	13.4	0	12.85	0	0	0	0	0	1.27	0	0	0	0	0	0	0	0	0	9.42	0	7.17	0	0	0	44.47	0	7.7	0	0	0	18.2	0	0	0	25.97	66.99	0	0	23.56	24.94	0	0	0	13.47
KIF20B	204.52	81.97	220.24	244.92	43.54	204.22	78.41	335.84	211.84	2.11	257.06	80.79	259.61	136.52	421.72	10.76	0	209.27	223.91	86.71	67.39	111.09	180.81	73.55	134.38	147.8	102.65	75.78	162.65	25.4	80.89	249.03	40.43	139.07	248.32	55.08	175.91	78.66	389.49	158.92	78.57	89.25	37.21	116.41	120.21	132.44	261.29	78.91
KIF21A	131.48	0	3.24	19.78	43.54	91.36	0	40.12	5.76	2.11	98.87	0	6.33	56.22	107.72	114.77	0	62.01	9.14	0	148.26	38.75	0	8.49	87.79	75.75	5.4	84.52	38.61	31.75	0	33.2	3.23	0	27.3	0	37.7	0	138.49	0	6.73	0	0	103.93	79	0	1.66	123.18
KIF21B	0	0	1.62	38.03	43.54	118.23	7.71	1.49	0	1.05	1.65	55.65	2.53	22.75	0	0	0	0	11.42	0	0	5.17	0	0	73.46	0	39.62	0	0	0	44.3	1.19	1.62	8.18	27.3	1.62	0	16.05	3.46	1.56	4.49	0	0	2.08	0	72.03	0	3.85
KIF22	311.65	145.72	80.97	222.1	113.86	155.85	170.96	161.97	43.23	164.39	126.88	5.39	111.44	161.95	210.86	129.11	74.18	144.68	137.09	88.82	161.74	224.76	109.24	16.97	320.71	297.44	131.46	134.06	362.74	50.81	3.85	59.29	93.79	376.31	158.61	238.13	160.2	219.93	377.37	48.3	51.63	60.56	240.6	212.03	176.88	232.36	169.76	315.64
KIF23	14.61	52.37	34.01	68.46	50.23	26.87	1.29	44.58	109.52	28.45	47.79	0	11.4	73.62	153.56	0	3.09	0	15.99	0	40.44	25.83	0	2.83	7.17	0	0	0	55	0	11.56	1.19	0	0	0	58.32	37.7	0	41.55	48.3	26.94	86.06	9.92	162.14	41.22	15.1	48.26	51.97
KIF24	0	0	0	0	13.4	0	20.57	38.64	0	1.05	0	0	34.19	0	0	0	0	85.26	0	0	13.48	68.46	13.18	0	5.38	1.85	0	2.91	0	53.98	0	0	0	0	33.8	3.24	0	0	0	46.74	4.49	3.19	0	0	0	44.15	0	3.85
KIF25	0	0	34.01	0	0	128.98	0	0	64.85	73.77	0	43.09	0	0	0	139.87	3.09	2.58	0	0	0	1.29	0	2.83	0	0	16.21	0	1.17	0	130.97	0	95.41	0	49.4	37.26	43.98	1.61	6.92	43.62	0	0	0	0	0	0	0	19.25
KIF25-AS1	0	0	0	0	0	0	0	0	8.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1	0	0	0	0	0	0	0	0	0	0	0	0
KIF26A	0	0	0	0	16.74	0	0	0	118.17	74.82	0	0	1.27	0	0	46.62	80.37	0	0	0	58.41	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4	1.62	0	0	0	99.71	0	0	0	0	20.61	0	1.66	1.92
