Gene	M_19W_embryo2_103_sc1	M_19W_embryo2_103_sc2	M_19W_embryo2_103_sc3	M_19W_embryo2_103_sc4	M_19W_embryo2_103_sc5	M_19W_embryo2_103_sc6	M_19W_embryo2_103_sc7	M_19W_embryo2_103_sc8	M_19W_embryo2_103_sc9	M_19W_embryo2_103_sc10	M_19W_embryo2_103_sc11	M_19W_embryo2_103_sc12	M_19W_embryo2_103_sc13	M_19W_embryo2_103_sc14	M_19W_embryo2_103_sc15	M_19W_embryo2_103_sc16	M_19W_embryo2_103_sc17	M_19W_embryo2_103_sc18	M_19W_embryo2_103_sc19	M_19W_embryo2_103_sc20	M_19W_embryo2_103_sc21	M_19W_embryo2_103_sc22	M_19W_embryo2_103_sc23	M_19W_embryo2_103_sc24	M_19W_embryo2_103_sc25	M_19W_embryo2_103_sc26	M_19W_embryo2_103_sc27	M_19W_embryo2_103_sc28	M_19W_embryo2_103_sc29	M_19W_embryo2_103_sc30	M_19W_embryo2_103_sc31	M_19W_embryo2_103_sc32	M_19W_embryo2_103_sc33	M_19W_embryo2_103_sc34	M_19W_embryo2_103_sc35	M_19W_embryo2_103_sc36	M_19W_embryo2_103_sc37	M_19W_embryo2_103_sc38	M_19W_embryo2_103_sc39	M_19W_embryo2_103_sc40	M_19W_embryo2_103_sc41	M_19W_embryo2_103_sc42	M_19W_embryo2_103_sc43	M_19W_embryo2_103_sc44	M_19W_embryo2_103_sc45	M_19W_embryo2_103_sc46	M_19W_embryo2_103_sc47	M_19W_embryo2_103_sc48	M_19W_embryo2_103_sc49	M_19W_embryo2_103_sc50
LINC00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00303	0	0	0	0	0	47.93	0	0	0	0	30.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.39	0	0	4.72	0	0	0
LINC00307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00308	0	0	0	0	0	19.61	0	0	0	0	0	0	0	1.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00309	0	0	0	0	0	0	0	0	1.23	0	0	0	0	0	45.26	0	0	0	90.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00312	0	0	0	0	0	0	22.41	0	0	0	5.49	0	7.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12	0	0	0	0
LINC00313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6	0	0	0	0	0	0	0	0	4.6	0	0
LINC00316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00323	1.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.34	0	0	0
LINC00324	0	0	0	0	0	0	0	59.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.54
LINC00326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00327	1.77	4.29	0	0	0	0	0	0	0	0	0	0	0	0	141.63	59.63	2.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.46	0	0	1.69	0	0	0	0	1.82	0	1.47	0	0	3.12	0	0	0	0
LINC00330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.03	0	0	0	0	38.53	0	0	0	15.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.69
LINC00336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00339	0	0	0	0	0	4.36	19.42	0	24.5	0	29.67	0	0	21.83	0	1.53	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.28	2.25	0	0	18.16	7.02	0	0	0	0	15.74	0	0	0
LINC00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.4	0	77.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00342	14.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0	0	0	0	0	4.23	2.17	0	11.82	0	0	0	0	9.32	0	2.23	0	0	0	0	0	0	14.03	0	0	0	34.31	0	9.21	0	0
LINC00343	0	0	0	0	0	0	0	0	26.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00346	0	0	0	0	0	0	16.43	0	0	0	0	0	0	0	0	0	0	0	0	211.16	0	0	0	0	0	2.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.12	0	0	0	0	0	0	48.44
LINC00347	0	0	0	0	0	45.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00348	0	0	0	2.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00351	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.28	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00354	0	0	0	0	0	0	0	0	0	0	95.6	0	0	0	0	0	0	0	2.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.04	0	0	0	83.95	0	0	0	0	0	0	0	0	0	0	0	2.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07	0	0
LINC00365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00371	0	8.57	0	0	0	0	32.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84	0	0	0	0	0	0	0	0	85.02	27.24	0	0	2.1	0	0	0	0	0	0
LINC00375	0	0	0	0	0	0	0	0	0	0	0	0	53.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00376	0	0	0	0	0	23.96	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0	0	0	0	0	0	0	70.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.06
LINC00377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00379	0	0	0	0	0	39.21	0	0	0	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54	0	0	0	0	0	0	0	0	26.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00381	0	6.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.85	0	0	0	0	0
LINC00382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00383	1.77	0	76.57	0	0	41.39	29.88	0	0	0	0	49.61	0	85.35	0	32.11	0	0	8.22	0	0	0	0	0	0	0	81.4	0	0	0	0	60.78	95.09	0	0	44.04	0	0	0	95.22	27.24	0	0	0	0	0	0	50.64	0	33.22
LINC00392	40.61	0	0	0	0	78.42	0	0	0	0	0	0	78.85	0	39.42	29.05	0	0	0	45.79	0	0	0	0	0	17.39	0	35.46	0	0	0	0	50.34	0	0	0	34.06	0	0	0	59.94	0	0	0	0	0	0	0	0	0
LINC00395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.07
LINC00396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00403	0	0	0	85.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82	0	0	0	0	0	0	0	0	0
LINC00408	0	0	42.04	0	0	0	0	0	0	0	0	36.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.6	0	0	0	0	0
LINC00410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00412	0	0	0	0	0	2.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00417	1.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.91	0	4.73	0	0	0	0	0	0	0	0	0	0	0	0	47.22	0	0	0	0	0	0	0	0	0
LINC00421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.67	0	0
LINC00423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00437	0	0	0	0	0	0	0	0	7.35	0	0	0	0	0	1.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.79	2.1	0	0	0	0	0	0
LINC00440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0
LINC00441	0	0	0	0	0	0	0	0	0	0	0	3.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.74	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0
LINC00442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.42	0	0	0	0	0	0
LINC00443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00458	0	0	0	0	0	0	0	0	0	0	1.1	0	1.58	0	0	0	2.55	0	2.06	0	0	0	0	3.97	0	4.35	0	0	2.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57	0	0	0
LINC00460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00461	0	0	0	0	0	0	0	0	0	0	0	3.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.43	0	5.07	37.29	0	0	0	0	0	0	0	1.82	0	0	0	0	0	0	0	0	0
LINC00462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
LINC00466	0	0	0	0	0	0	0	0	0	0	0	112.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.71	0	0	0	46.61	0	0	0	0	0	0	0	0	0	0	0	5.32	0	0	0	0	0
LINC00467	160.66	437.23	255.24	141.52	202.17	174.28	195.68	545.89	89.44	322.75	583.49	271.19	230.23	224.3	110.97	301.21	706.74	437.81	61.66	605.48	172.14	547.09	0	583.82	130.98	382.62	331.04	434.99	64.51	198.51	188.9	466	658.18	0	169.63	213.44	437.04	690.65	95	278.87	89	166.98	243.24	374.53	212.77	230.8	284.98	326.83	584.91	434.59
LINC00469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00470	0	45.01	0	21.44	0	0	1.49	0	1.23	0	0	0	0	23.82	0	36.7	0	0	2.06	109.39	0	73.2	0	3.97	0	28.26	2.71	0	0	8.63	87.18	60.78	0	0	0	0	0	0	0	0	1.82	0	0	0	0	0	0	15.34	0	0
LINC00471	0	0	0	4.29	0	0	43.32	0	0	0	14.29	0	0	0	0	0	73.99	0	0	63.6	0	0	0	0	0	0	0	0	0	0	24.22	0	167.81	0	0	0	19.87	0	0	0	7.27	0	0	0	0	0	3.15	0	0	0
LINC00472	0	0	0	0	0	15.25	26.89	0	0	0	27.47	0	0	0	0	0	0	0	0	38.16	0	0	0	0	0	60.87	86.83	54.37	0	0	0	0	0	0	0	0	31.22	29.25	68.4	3.4	52.67	0	0	0	42.55	0	3.15	0	0	0
LINC00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.08	276.6	0	0	4.6	0	0
LINC00474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00476	0	2.14	0	0	0	19.61	0	0	0	0	0	56.22	0	0	0	0	0	1.68	0	0	0	0	0	3.97	0	10.87	2.71	0	0	0	4.84	0	0	0	0	1.69	69.53	0	0	3.4	0	0	0	37.87	101.06	0	1.57	0	0	44.29
LINC00477	0	0	0	0	0	0	0	0	0	0	0	62.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.4	0	0	0	0	0	0	0	0	0	0	0
LINC00482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77
LINC00483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0	0
LINC00485	1.77	0	9.01	0	66.1	0	1.49	0	127.42	0	0	6.61	0	0	0	4.59	0	0	0	0	0	0	0	0	4.23	0	0	0	143.68	0	0	0	0	0	0	3.39	0	6.75	0	0	0	0	0	0	0	0	0	0	0	0
LINC00486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0
LINC00489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00491	0	0	0	0	7.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.29	0	0	0	0	0	0
LINC00492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00493	141.24	66.44	66.06	23.59	303.26	174.28	176.26	48.83	19.6	94.13	69.23	314.18	223.92	158.8	181.05	192.65	28.07	294.68	189.08	368.89	48.47	80.91	0	313.75	0	78.26	24.42	104.02	5.86	160.53	140.46	184.88	0	0	131.69	140.6	52.5	206.97	0	278.87	0	78.58	25.06	50.5	93.09	115.4	50.38	148.84	111.22	53.98
LINC00494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.79	0	0	0	0	0	0	0
LINC00499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
